WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,71.55,98,62,1.01,Clouds
1,Tuzha,RU,57.6062,47.936,19.49,95,100,11.45,Snow
2,Hobart,AU,-42.8794,147.3294,74.26,67,20,18.41,Clouds
3,Bluff,NZ,-46.6,168.3333,54.75,65,4,15.57,Clear
4,Oga,IT,46.4631,10.347,43.03,78,100,3.94,Clouds
5,Zhangye,CN,38.9342,100.4517,27.16,30,15,10.22,Clouds
6,Richards Bay,ZA,-28.783,32.0377,75.54,62,44,10.0,Clouds
7,Hermanus,ZA,-34.4187,19.2345,76.8,55,31,16.96,Clouds
8,Airai,TL,-8.9266,125.4092,62.64,94,100,6.67,Clouds
9,Atuona,PF,-9.8,-139.0333,77.88,69,2,18.7,Clear
10,Vicuna,CL,-30.0319,-70.7081,55.13,85,12,1.88,Clouds
11,Isangel,VU,-19.55,169.2667,80.44,82,11,12.57,Clouds
12,Gao,ML,16.6362,1.637,68.11,12,47,17.2,Clouds
13,Mildura,AU,-34.2,142.15,97.07,30,0,7.96,Clear
14,Fowa,NG,8.9167,6.4,80.71,16,92,1.77,Clouds
15,Rikitea,PF,-23.1203,-134.9692,77.61,71,68,5.3,Clouds
16,Gornozavodsk,RU,58.3758,58.3211,-2.61,88,85,10.09,Clouds
17,Butaritari,KI,3.0707,172.7902,81.07,79,80,13.91,Clouds
18,Upernavik,GL,72.7868,-56.1549,-11.58,90,100,4.25,Clouds
19,Moctezuma,MX,29.8,-109.6667,52.43,74,1,1.43,Clear
20,Mataura,NZ,-46.1927,168.8643,51.19,73,31,3.94,Clouds
21,Sistranda,NO,63.7256,8.834,39.16,89,100,35.32,Rain
22,Salinopolis,BR,-0.6136,-47.3561,77.76,85,96,7.7,Clouds
23,Ossora,RU,59.2353,163.0719,-3.71,96,97,6.31,Clouds
24,Varva,UA,50.495,32.7197,36.95,85,12,6.76,Clouds
25,Tasiilaq,GL,65.6145,-37.6368,3.36,57,0,7.02,Clear
26,Buenos Aires,AR,-34.6132,-58.3772,76.73,36,0,10.36,Clear
27,Waipawa,NZ,-41.4122,175.5153,50.16,75,18,3.78,Clouds
28,Kavaratti,IN,10.5669,72.642,81.52,65,0,3.87,Clear
29,Avarua,CK,-21.2078,-159.775,75.25,88,75,4.61,Clouds
30,Clyde River,CA,70.4692,-68.5914,-18.17,69,20,20.71,Haze
31,East London,ZA,-33.0153,27.9116,77.94,57,20,10.36,Clouds
32,Carquefou,FR,47.2982,-1.4902,59.07,80,0,9.22,Clear
33,Teya,RU,60.3778,92.6267,-9.76,96,98,3.04,Clouds
34,Manturovo,RU,58.3353,44.7619,22.41,96,100,6.06,Clouds
35,Pevek,RU,69.7008,170.3133,-37.91,99,56,4.85,Clouds
36,Ushuaia,AR,-54.8,-68.3,40.66,75,0,5.75,Clear
37,Harper,LR,4.375,-7.7169,78.84,75,1,7.25,Clear
38,Vaini,TO,-21.2,-175.2,77.16,100,100,2.3,Rain
39,Lufilufi,WS,-13.8745,-171.5986,78.58,73,53,5.1,Clouds
40,Olafsvik,IS,64.8945,-23.7142,28.58,80,100,5.86,Snow
41,Hilo,US,19.7297,-155.09,71.62,91,75,8.05,Rain
42,Gobabis,NA,-22.45,18.9667,81.75,37,44,10.27,Clouds
43,Banda Aceh,ID,5.5577,95.3222,80.31,71,100,14.83,Clouds
44,Tutoia,BR,-2.7619,-42.2744,76.51,89,100,10.45,Clouds
45,Zambezi,ZM,-13.5432,23.1047,67.15,91,100,5.19,Rain
46,La Ronge,CA,55.1001,-105.2842,3.45,85,75,2.3,Clouds
47,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,4.61,Clear
48,Lebu,CL,-37.6167,-73.65,54.84,93,10,14.85,Clear
49,Puerto Escondido,MX,15.85,-97.0667,74.39,66,53,4.07,Clouds
50,Yumen,CN,40.2833,97.2,19.42,53,100,9.8,Clouds
51,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.0,97,100,11.01,Clouds
52,Hay River,CA,60.8156,-115.7999,4.98,85,40,8.05,Clouds
