City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Aksu,CN,82.42,clear sky,41.12,80.26,Pudong Holiday Hotel
7,Touros,BR,80.6,broken clouds,-5.2,-35.46,INN NEW HORIZON
10,Morehead,US,75.2,clear sky,37.27,-87.18,CCI Express Inn
11,Port Elizabeth,ZA,84.2,clear sky,-33.92,25.57,39 On Nile Guest House
16,Northam,GB,82.4,few clouds,51.03,-4.22,Durrant House Hotel
18,Hyderabad,IN,87.01,haze,17.38,78.47,"Taj Krishna, Hyderabad"
20,Port Alfred,ZA,82.0,clear sky,-33.59,26.89,The Halyards Hotel
22,Atuona,PF,79.72,clear sky,-9.8,-139.03,Villa Enata
23,Kapaa,US,73.4,heavy intensity rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
25,Nikolskoye,RU,88.0,clear sky,59.7,30.79,Tourist House - Sablino
28,Arraial Do Cabo,BR,78.8,clear sky,-22.97,-42.03,Pousada Porto Praia
29,Luganville,VU,77.72,light rain,-15.53,167.17,The Espiritu Hotel
31,Dwarka,IN,87.39,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
37,Guanare,VE,82.24,light rain,9.04,-69.74,Nuevo Hotel Coromoto
38,Butaritari,KI,82.87,few clouds,3.07,172.79,Isles Sunset Lodge
41,Mata,PT,84.27,broken clouds,40.68,-7.46,Solar dos Pedrosos
42,Oussouye,SN,77.0,overcast clouds,12.48,-16.55,Auberge du Routard
44,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
47,Rikitea,PF,72.3,clear sky,-23.12,-134.97,Pension Maro'i
50,Suwalki,PL,77.09,light rain,54.11,22.93,Hotel Szyszko
54,Sfantu Gheorghe,RO,77.0,light rain,45.87,25.78,Hotel Park Sfantu Gheorghe
56,Pringsewu,ID,74.59,light rain,-5.36,104.97,Urban Style by Front One
57,Nacala,MZ,82.4,scattered clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
61,Puerto Ayora,EC,72.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
63,Korla,CN,83.08,overcast clouds,41.76,86.15,Gulisitan Hotel
64,Hithadhoo,MV,84.67,broken clouds,-0.6,73.08,Scoop Guest House
66,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
72,Bredasdorp,ZA,73.4,clear sky,-34.53,20.04,Bredasdorp Country Manor
73,Grand Gaube,MU,73.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
75,Bonthe,SL,82.78,light rain,7.53,-12.51,Bonthe Holiday Village
78,Ponta Do Sol,PT,72.0,scattered clouds,32.67,-17.1,Hotel do Campo
80,East London,ZA,78.8,clear sky,-33.02,27.91,Tu Casa
81,Satipo,PE,79.63,overcast clouds,-11.25,-74.64,Hotel Mayros
82,Chabahar,IR,87.91,clear sky,25.29,60.64,هتل گدروشیا
85,Poum,NC,70.68,clear sky,-20.23,164.02,Gîte kajeon
87,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
91,Labuhan,ID,77.43,few clouds,-6.88,112.21,bador sepret
92,San Pedro,PH,86.0,broken clouds,14.35,121.02,OYO 412 Viewfort Venue
93,Anloga,GH,87.8,few clouds,5.79,0.9,Dey Lodge
96,Lufkin,US,75.2,broken clouds,31.34,-94.73,Courtyard by Marriott Lufkin
98,Kavieng,PG,83.57,overcast clouds,-2.57,150.8,Nusa Island Retreat
99,Villa Bruzual,VE,82.6,light rain,9.33,-69.12,Hotel Turen
101,Manokwari,ID,81.03,light rain,-0.87,134.08,Swiss Belhotel Manokwari
105,Saint-Philippe,RE,73.4,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
106,Dzaoudzi,YT,82.4,few clouds,-12.79,45.27,Le Rocher
117,Katsuura,JP,72.0,light rain,35.13,140.3,Katsuura Hilltop Hotel & Residence
121,Khatanga,RU,78.98,broken clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
125,Barao De Melgaco,BR,84.2,scattered clouds,-16.19,-55.97,Tuiuiu Pantanal Hotel
126,Ojinaga,MX,77.0,clear sky,29.57,-104.42,Suites Las Palmas
127,Kalmunai,LK,82.31,light rain,7.42,81.82,VS Villa
129,Victoria,HK,86.0,overcast clouds,22.29,114.16,Mini Hotel Central
131,Lulea,SE,73.4,thunderstorm,65.58,22.15,Comfort Hotel Arctic
132,Padilla,CO,71.6,haze,3.22,-76.31,La Granadina
139,Kutum,SD,87.93,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
140,Imbituba,BR,78.8,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
142,Hermanus,ZA,70.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
144,Bethel,US,77.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
146,Kahului,US,75.2,broken clouds,20.89,-156.47,Maui Seaside Hotel
148,Torbay,CA,72.0,overcast clouds,47.67,-52.73,Gallows Cove
152,Havre,FR,89.6,clear sky,49.58,0.33,gite bois jourdain
154,Beira,MZ,75.2,few clouds,-19.84,34.84,Beira Terrace Hotel
158,Kijang,KR,73.4,overcast clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
159,Alenquer,BR,82.4,broken clouds,-1.94,-54.74,Detinha Hotel
161,West Bay,KY,87.8,dust,19.37,-81.42,Calypso Cove
162,Porbandar,IN,87.33,scattered clouds,21.64,69.61,Lords Inn Porbandar
163,Eregli,TR,83.21,clear sky,37.51,34.05,Hotel Fuat Bey
165,Manzanillo,CU,84.27,clear sky,20.34,-77.12,Adrian & Tonia
168,Faanui,PF,78.39,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
169,Kruisfontein,ZA,78.15,clear sky,-34.0,24.73,Oyster Bay House Rental
171,Mingguang,CN,77.58,clear sky,32.78,117.96,Yonghao Hotel
173,Prado,BR,78.51,few clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
177,Caravelas,BR,79.74,clear sky,-17.71,-39.25,Pousada dos Navegantes
178,Castro,BR,70.56,clear sky,-24.79,-50.01,CHACARA BAILLY
179,Broome,US,71.01,clear sky,42.25,-75.83,Chenango Valley State Park
180,Bani,DO,86.0,scattered clouds,18.28,-70.33,Hospedaje Henriquez
181,Tooele,US,73.0,clear sky,40.53,-112.3,Holiday Inn Express & Suites Tooele
186,San Patricio,MX,80.96,clear sky,19.22,-104.7,Hotel Cabo Blanco
191,Puri,IN,87.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
195,Kuressaare,EE,77.0,clear sky,58.25,22.5,Spa Hotel Rüütli
196,Hilo,US,73.4,light rain,19.73,-155.09,Hilo Hawaiian Hotel
197,Bengkulu,ID,78.84,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
200,Barrhead,GB,80.01,scattered clouds,55.8,-4.39,The Gleniffer Hotel
201,Gat,IL,80.6,few clouds,31.61,34.76,רגע בנחת
205,Cozumel,MX,84.99,clear sky,20.51,-86.95,Cozumel Palace® All Inclusive Resort
207,Meadow Lake,US,75.0,few clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
208,Cabo San Lucas,MX,77.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
212,Banjar,ID,80.6,scattered clouds,-8.19,114.97,The Hamsa Resort
213,Miandrivazo,MG,84.45,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
217,Lewiston,US,73.99,clear sky,44.1,-70.21,Hilton Garden Inn Auburn Riverwatch
218,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
219,Busia,UG,76.68,light rain,0.45,34.08,Chefwest Hotel
221,Bolcske,HU,80.6,broken clouds,46.74,18.97,Turul Fogadó Vendéglátóipari Kft.
222,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
223,Pundaguitan,PH,82.53,moderate rain,6.37,126.17,Leonardo Family Beach House 1
225,Rincon,US,79.0,overcast clouds,32.3,-81.24,Bent tree subdivision
227,Palanga,LT,80.6,few clouds,55.92,21.07,"Austeja, viesbutis, Palangos vetra"
228,Raudeberg,NO,71.6,broken clouds,61.99,5.14,Nordre Silda.
234,Sao Filipe,CV,75.83,few clouds,14.9,-24.5,Tortuga B&B
236,Saint-Dizier,FR,89.6,clear sky,48.42,5.08,Le Val du Roy - Chambres d'hôtes
237,Margate,GB,84.99,clear sky,51.38,1.39,Premier Inn Margate hotel
238,Dingle,PH,79.84,light rain,11.0,122.67,Camp Pasica
243,Angoche,MZ,74.89,few clouds,-16.23,39.91,Guest House HESADA
245,Shimoda,JP,70.0,overcast clouds,34.67,138.95,Shimoda Tokyu Hotel
246,Steinbach,DE,86.0,few clouds,50.17,8.57,Mercure Hotel Frankfurt Eschborn Helfmann Park
247,Sliema,MT,82.0,clear sky,35.91,14.5,Grand Hotel Excelsior Malta
248,Tomigusuku,JP,80.6,broken clouds,26.18,127.67,Nest Hotel Naha
251,Samarai,PG,79.11,light rain,-10.62,150.67,Nuli Sapi
