City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,71.55,Clouds,-0.7393,-90.3518,
2,Hobart,AU,74.26,Clouds,-42.8794,147.3294,
6,Richards Bay,ZA,75.54,Clouds,-28.783,32.0377,
7,Hermanus,ZA,76.8,Clouds,-34.4187,19.2345,
9,Atuona,PF,77.88,Clear,-9.8,-139.0333,
11,Isangel,VU,80.44,Clouds,-19.55,169.2667,
12,Gao,ML,68.11,Clouds,16.6362,1.637,
13,Mildura,AU,97.07,Clear,-34.2,142.15,
14,Fowa,NG,80.71,Clouds,8.9167,6.4,
15,Rikitea,PF,77.61,Clouds,-23.1203,-134.9692,
17,Butaritari,KI,81.07,Clouds,3.0707,172.7902,
22,Salinopolis,BR,77.76,Clouds,-0.6136,-47.3561,
26,Buenos Aires,AR,76.73,Clear,-34.6132,-58.3772,
28,Kavaratti,IN,81.52,Clear,10.5669,72.642,
29,Avarua,CK,75.25,Clouds,-21.2078,-159.775,
31,East London,ZA,77.94,Clouds,-33.0153,27.9116,
37,Harper,LR,78.84,Clear,4.375,-7.7169,
38,Vaini,TO,77.16,Rain,-21.2,-175.2,
39,Lufilufi,WS,78.58,Clouds,-13.8745,-171.5986,
41,Hilo,US,71.62,Rain,19.7297,-155.09,
43,Banda Aceh,ID,80.31,Clouds,5.5577,95.3222,
44,Tutoia,BR,76.51,Clouds,-2.7619,-42.2744,
45,Zambezi,ZM,67.15,Rain,-13.5432,23.1047,
49,Puerto Escondido,MX,74.39,Clouds,15.85,-97.0667,
53,Saint-Philippe,RE,83.79,Rain,-21.3585,55.7679,
54,Hithadhoo,MV,81.25,Clouds,-0.6,73.0833,
56,New Norfolk,AU,73.9,Clouds,-42.7826,147.0587,
57,Aswan,EG,68.2,Clouds,24.0934,32.907,
60,Mount Gambier,AU,65.53,Clear,-37.8333,140.7667,
61,Araouane,ML,67.75,Clouds,18.9048,-3.5265,
63,Batemans Bay,AU,71.1,Clouds,-35.7167,150.1833,
64,Shakawe,BW,75.36,Clouds,-18.3667,21.85,
66,Bredasdorp,ZA,73.33,Clouds,-34.5322,20.0403,
69,Da Nang,VN,73.38,Clouds,16.0678,108.2208,
71,Cape Town,ZA,86.11,Clear,-33.9258,18.4232,
72,Kapaa,US,75.52,Clear,22.0752,-159.319,
76,Bambous Virieux,MU,86.25,Rain,-20.3428,57.7575,
77,Geraldton,AU,75.61,Clouds,-28.7667,114.6,
78,Monrovia,LR,77.29,Clouds,6.3005,-10.7969,
79,Carnarvon,AU,77.85,Clear,-24.8667,113.6333,
80,Caravelas,BR,74.52,Clear,-17.7125,-39.2481,
84,Flinders,AU,74.17,Clouds,-34.5833,150.8552,
87,Los Llanos De Aridane,ES,65.95,Clouds,28.6585,-17.9182,
88,Oranjestad,AW,76.95,Clouds,12.524,-70.027,
89,Georgetown,MY,84.88,Clouds,5.4112,100.3354,
90,Galle,LK,81.52,Clouds,6.0367,80.217,
93,San Juan,AR,75.83,Clouds,-31.5375,-68.5364,
97,Busselton,AU,72.63,Clouds,-33.65,115.3333,
98,Cabo San Lucas,MX,68.5,Clear,22.8909,-109.9124,
101,Mercedes,AR,70.86,Clear,-34.6515,-59.4307,
102,Port Alfred,ZA,73.18,Clouds,-33.5906,26.891,
107,Pisco,PE,68.05,Clouds,-13.7,-76.2167,
113,Luba,GQ,82.02,Clouds,3.4568,8.5547,
115,Amahai,ID,78.71,Clouds,-3.3333,128.9167,
118,Kruisfontein,ZA,73.89,Clear,-34.0033,24.7314,
121,Ransang,PH,82.04,Clouds,8.9603,117.5828,
122,Teahupoo,PF,73.36,Rain,-17.8333,-149.2667,
124,Mahebourg,MU,86.29,Rain,-20.4081,57.7,
126,Saldanha,ZA,87.85,Clear,-33.0117,17.9442,
129,Yambio,SS,86.09,Clouds,4.5721,28.3955,
132,Lachhmangarh,IN,69.37,Clouds,27.8214,75.0251,
136,Acarau,BR,76.69,Clouds,-2.8856,-40.12,
137,Alappuzha,IN,91.99,Clouds,9.49,76.3264,
138,Caraballeda,VE,77.07,Clouds,10.6112,-66.8522,
143,Arraial Do Cabo,BR,71.56,Clouds,-22.9661,-42.0278,
144,Chuy,UY,66.24,Clear,-33.6971,-53.4616,
145,Touros,BR,79.38,Clouds,-5.1989,-35.4608,
146,Popondetta,PG,76.03,Clouds,-8.7537,148.2534,
147,Alice Springs,AU,96.35,Clouds,-23.7,133.8833,
149,Bengkulu,ID,79.48,Clouds,-3.8004,102.2655,
152,Esperance,AU,66.6,Clouds,-33.8667,121.9,
153,Bathsheba,BB,77.61,Clouds,13.2167,-59.5167,
154,Santa Rosa,PH,84.11,Clouds,14.3122,121.1114,
156,Gizo,SB,83.43,Clouds,-8.103,156.8419,
159,Nieves,PH,87.31,Clouds,15.3274,120.9485,
162,Port Augusta,AU,80.33,Clear,-32.5,137.7667,
165,Kirakira,SB,81.82,Clouds,-10.4544,161.9205,
166,Tabou,CI,78.82,Clear,4.423,-7.3528,
167,Victoria,HK,67.24,Clear,22.2855,114.1577,
168,Mbandaka,CD,87.71,Clouds,0.0487,18.2603,
172,Jos,NG,66.88,Clouds,9.9167,8.9,
175,Sawtell,AU,73.42,Clouds,-30.3833,153.1,
178,Sao Joao Da Barra,BR,73.08,Clouds,-21.6403,-41.0511,
179,Ambulu,ID,81.82,Clouds,-8.345,113.6058,
181,Bac Lieu,VN,82.76,Clouds,9.285,105.7244,
182,Myitkyina,MM,69.3,Clouds,25.3833,97.4,
184,Mahibadhoo,MV,81.41,Clouds,3.7833,72.9667,
187,Asfi,MA,66.2,Clouds,32.2994,-9.2372,
188,Vrises,GR,65.19,Clouds,35.492,23.8899,
189,Sao Lourenco Do Sul,BR,66.52,Clear,-31.3653,-51.9783,
191,Faanui,PF,81.46,Rain,-16.4833,-151.75,
192,Letpadan,MM,86.45,Clear,17.7833,95.75,
193,Bitkine,TD,80.24,Clouds,11.9801,18.2138,
194,Ormara,PK,73.72,Clouds,25.2088,64.6357,
196,Ponta Do Sol,PT,69.01,Clouds,32.6667,-17.1,
197,Porto Santo,PT,66.58,Clouds,33.072,-16.3415,
199,Abeche,TD,71.62,Clear,13.8292,20.8324,
200,Oussouye,SN,69.89,Clouds,12.485,-16.5469,
203,Acandi,CO,74.89,Rain,8.5063,-77.2778,
204,Cidreira,BR,67.12,Clear,-30.1811,-50.2056,
205,Medeiros Neto,BR,70.32,Clouds,-17.3739,-40.2206,
206,Sao Geraldo Do Araguaia,BR,70.79,Clouds,-6.4006,-48.555,
207,Beroroha,MG,98.11,Clouds,-21.6667,45.1667,
210,Ciudad Bolivar,VE,72.25,Clouds,8.1222,-63.5497,
211,Arica,CL,68.23,Clouds,-18.475,-70.3042,
213,Sorong,ID,79.79,Clouds,-0.8833,131.25,
216,Lupiro,TZ,87.15,Clouds,-8.3833,36.6667,
217,Santa Isabel Do Rio Negro,BR,71.02,Clouds,-0.4139,-65.0192,
219,Kahului,US,74.84,Clouds,20.8947,-156.47,
223,Beihai,CN,65.01,Clear,21.4833,109.1,
225,Iracoubo,GF,76.05,Clouds,5.4802,-53.2011,
226,San Policarpo,PH,80.08,Clouds,12.1791,125.5072,
229,Hambantota,LK,86.34,Clouds,6.1241,81.1185,
231,Anjozorobe,MG,78.24,Clouds,-18.4,47.8667,
237,Auki,SB,79.79,Clouds,-8.7676,160.7034,
242,Baculin,PH,79.77,Rain,7.4525,126.5842,
247,Cockburn Town,TC,77.61,Rain,21.4612,-71.1419,
255,Ranau,MY,74.95,Clouds,5.9538,116.6641,
257,Quang Ngai,VN,70.0,Clouds,15.1167,108.8,
258,Port Lincoln,AU,69.08,Clear,-34.7333,135.8667,
259,Mporokoso,ZM,67.71,Rain,-9.3727,30.125,
262,Sao Filipe,CV,71.31,Clear,14.8961,-24.4956,
264,Ahuimanu,US,74.86,Clouds,21.4447,-157.8378,
266,Paka,MY,84.13,Clouds,4.6374,103.4368,
267,Meulaboh,ID,82.87,Clouds,4.1363,96.1285,
269,Kieta,PG,80.26,Clouds,-6.2167,155.6333,
270,Jeremie,HT,73.99,Clear,18.65,-74.1167,
271,Manokwari,ID,77.95,Clouds,-0.8667,134.0833,
274,Nampula,MZ,80.55,Clouds,-15.1165,39.2666,
276,Alugan,PH,79.88,Clouds,12.2188,125.4808,
278,Kimbe,PG,78.46,Rain,-5.5502,150.1429,
280,Canita,PA,70.93,Clouds,9.2097,-78.8811,
281,Biak,ID,81.91,Clouds,-0.9131,122.8766,
285,Buala,SB,81.41,Clouds,-8.145,159.5921,
291,Abu Zabad,SD,79.16,Clear,12.35,29.25,
294,Salina Cruz,MX,72.66,Clouds,16.1667,-95.2,
296,Nha Trang,VN,75.2,Rain,12.25,109.1833,
297,Kaeo,NZ,65.28,Clouds,-35.1,173.7833,
298,Goya,AR,70.79,Clear,-29.14,-59.2626,
299,Kavieng,PG,82.42,Clouds,-2.5744,150.7967,
300,Karachi,PK,78.62,Clear,24.9056,67.0822,
303,Akyab,MM,75.56,Clear,20.15,92.9,
304,Marabba,SD,82.87,Clear,12.35,32.1833,
305,Lima,PE,69.91,Clouds,-12.0432,-77.0282,
306,Kawalu,ID,76.91,Rain,-7.3817,108.2082,
308,Mwaro,BI,67.21,Rain,-3.5,29.6667,
311,Rameswaram,IN,79.2,Clouds,9.2833,79.3,
313,Alofi,NU,76.89,Rain,-19.0595,-169.9187,
315,Porto Belo,BR,70.16,Clear,-27.1578,-48.5531,
317,Quatre Cocos,MU,86.11,Rain,-20.2078,57.7625,
319,Tumpat,MY,84.18,Clouds,6.1978,102.171,
326,Cabedelo,BR,75.87,Clouds,-6.9811,-34.8339,
328,Zhaoqing,CN,66.81,Clear,23.0512,112.4597,
331,Port Elizabeth,ZA,77.09,Clear,-33.918,25.5701,
333,Sinnamary,GF,76.21,Clouds,5.3833,-52.95,
334,Honiara,SB,80.31,Clouds,-9.4333,159.95,
338,Mamallapuram,IN,86.05,Clouds,12.6264,80.1722,
344,Dong Xoai,VN,81.0,Clouds,11.5333,106.9167,
346,Grand-Lahou,CI,79.77,Clear,5.1367,-5.0242,
347,Camopi,GF,70.23,Clouds,3.1655,-52.3158,
349,Akom,CM,85.57,Clouds,2.6678,12.7109,
351,Telimele,GN,76.15,Clouds,10.9167,-13.3333,
354,Odweyne,SO,82.44,Clouds,9.4092,45.064,
356,Madikeri,IN,80.51,Clouds,12.4167,75.7333,
357,Mapiri,BO,65.16,Clouds,-15.25,-68.1667,
358,Primero De Marzo,PY,69.69,Clouds,-25.153,-56.928,
360,Lisala,CD,94.26,Clouds,2.15,21.5167,
361,Tuntum,BR,70.97,Clouds,-5.2581,-44.6489,
362,Kyaikkami,MM,80.46,Clear,16.08,97.5675,
363,Souillac,MU,86.38,Rain,-20.5167,57.5167,
365,Kulhudhuffushi,MV,80.53,Clouds,6.6221,73.07,
368,Mitsamiouli,KM,86.29,Clouds,-11.3847,43.2844,
370,Grahamstown,ZA,66.96,Clear,-33.3042,26.5328,
371,Mayor Pablo Lagerenza,PY,73.81,Clouds,-19.9309,-60.7718,
373,Ambilobe,MG,91.09,Clouds,-13.2,49.05,
374,Beloha,MG,90.32,Clear,-25.1667,45.05,
375,Ambon,ID,80.74,Clouds,-3.6954,128.1814,
376,Bull Savanna,JM,69.1,Clear,17.8868,-77.5902,
377,Jacmel,HT,73.24,Clear,18.2342,-72.5347,
378,Byron Bay,AU,72.95,Clear,-28.65,153.6167,
379,Camocim,BR,76.03,Clouds,-2.9022,-40.8411,
384,Road Town,VG,75.29,Clear,18.4167,-64.6167,
